貸借対照表（投資信託受益証券）,,,,,,,,,,,,,,,,,,,,,,
科目分類,標準ラベル（日本語）,冗長ラベル（日本語）,用途別ラベル（日本語）,業種ラベル（日本語）,連結,四半期個別,四半期連結,中間個別,中間連結,標準ラベル（英語）,用途別ラベル（英語）,業種ラベル（英語）,名前空間プレフィックス,要素名,type,enumerations,substitutionGroup,periodType,balance,abstract,nillable,depth
A,貸付取引有価証券,貸付取引有価証券、流動負債、投資信託,,,,,,,,Securities of loan trade,,,jpfr-t-fnd,SecuritiesOfLoanTradeCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,借入有価証券,借入有価証券、流動負債、投資信託,,,,,,,,Securities borrowed,,,jpfr-t-fnd,SecuritiesBorrowedCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,売為替,売為替、流動負債、投資信託,,,,,,,,Sales-foreign exchange,,,jpfr-t-fnd,SalesForeignExchangeCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,為替未払金,為替未払金、流動負債、投資信託,,,,,,,,Accounts payable-foreign exchange,,,jpfr-t-fnd,AccountsPayableForeignExchangeCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,先物取引未払金,先物取引未払金、流動負債、投資信託,,,,,,,,Accounts payable-futures markets,,,jpfr-t-fnd,AccountsPayableFuturesMarketsCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,先物取引売勘定,先物取引売勘定、流動負債、投資信託,,,,,,,,Sales account of futures markets,,,jpfr-t-fnd,SalesAccountOfFuturesMarketsCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,差入保証金代用有価証券,差入保証金代用有価証券、流動負債、投資信託,,,,,,,,Securities received as customers' deposits for guarantee deposits,,,jpfr-t-fnd,SecuritiesReceivedAsCustomersDepositsForGuaranteeDepositsCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,差入委託証拠金代用有価証券,差入委託証拠金代用有価証券、流動負債、投資信託,,,,,,,,Securities received as customers' deposits for customers' margin,,,jpfr-t-fnd,SecuritiesReceivedAsCustomersDepositsForCustomersMarginCLFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,流動負債,流動負債,流動負債合計[合計],,,,,,,Current liabilities,Total current liabilities[合計],,jpfr-t-cte,CurrentLiabilities,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,固定負債,固定負債、タイトル項目,,,,,,,,Noncurrent liabilities,,,jpfr-t-cte,NoncurrentLiabilitiesAbstract,xbrli:stringItemType,,xbrli:item,instant,,true,true,2
A,固定負債,固定負債,固定負債合計[合計],,,,,,,Noncurrent liabilities,Total noncurrent liabilities[合計],,jpfr-t-cte,NoncurrentLiabilities,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,負債,負債,負債合計[合計],,,,,,,Liabilities,Total liabilities[合計],,jpfr-t-cte,Liabilities,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,2
A,純資産の部,純資産の部、タイトル項目,,,,,,,,Net assets,,,jpfr-t-cte,NetAssetsAbstract,xbrli:stringItemType,,xbrli:item,instant,,true,true,1
A,元本等,元本等、投資信託、タイトル項目,,,,,,,,Principal and other,,,jpfr-t-fnd,PrincipalAndOtherAbstractFND,xbrli:stringItemType,,xbrli:item,instant,,true,true,2
A,元本,元本、投資信託,,,,,,,,Principal,,,jpfr-t-fnd,PrincipalFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,元本調整引当額,元本調整引当額、投資信託,,,,,,,,Reserve for principal,,,jpfr-t-fnd,ReserveForPrincipalFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,剰余金,剰余金、タイトル項目、投資信託,,,,,,,,Surplus,,,jpfr-t-fnd,SurplusAbstractFND,xbrli:stringItemType,,xbrli:item,instant,,true,true,3
A,剰余金又は欠損金（△）,剰余金又は欠損金（△）、投資信託,"剰余金又は欠損金（△）合計[合計]
期首剰余金又は期首欠損金（△）[期首]
期末剰余金又は期末欠損金（△）[期末]",,,,,"剰余金又は欠損金（△）[標準]
期首剰余金又は期首欠損金（△）[期首]
中間剰余金又は中間欠損金（△）[期末]",,Surplus (deficit),"Total surplus (deficit)[合計]
Surplus (deficit) at beginning of period[期首]
Surplus (deficit) at end of period[期末]",,jpfr-t-fnd,SurplusDeficitFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,4
A,（分配準備積立金）,（分配準備積立金）、投資信託,,,,,,,,Reserve for distribution,,,jpfr-t-fnd,ReserveForDistributionFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,4
A,（株価変動準備金）,（株価変動準備金）、投資信託,,,,,,,,Reserve for stock price fluctuation,,,jpfr-t-fnd,ReserveForStockPriceFluctuationFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,4
A,買取受益権,買取受益権、純資産の部、投資信託,,,,,,,,Acquired beneficiary right,,,jpfr-t-fnd,AcquiredBeneficiaryRightNAFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,元本等,元本等、投資信託,元本等合計[合計],,,,,,,Principal and other,Total principal and other[合計],,jpfr-t-fnd,PrincipalAndOtherFND,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,評価・換算差額等,評価・換算差額等、タイトル項目,,,その他の包括利益累計額[標準],,その他の包括利益累計額[標準],,その他の包括利益累計額[標準],Valuation and translation adjustments,,,jpfr-t-cte,ValuationAndTranslationAdjustmentsAbstract,xbrli:stringItemType,,xbrli:item,instant,,true,true,2
A,その他有価証券評価差額金,その他有価証券評価差額金,"当期首残高[期首]
当期末残高[期末]",,,,,"その他有価証券評価差額金[標準]
当期首残高[期首]
当中間期末残高[期末]","その他有価証券評価差額金[標準]
当期首残高[期首]
当中間期末残高[期末]",Valuation difference on available-for-sale securities,"Balance at the beginning of current period[期首]
Balance at the end of current period[期末]",,jpfr-t-cte,ValuationDifferenceOnAvailableForSaleSecurities,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,繰延ヘッジ損益,繰延ヘッジ損益,"当期首残高[期首]
当期末残高[期末]",,,,,"繰延ヘッジ損益[標準]
当期首残高[期首]
当中間期末残高[期末]","繰延ヘッジ損益[標準]
当期首残高[期首]
当中間期末残高[期末]",Deferred gains or losses on hedges,"Balance at the beginning of current period[期首]
Balance at the end of current period[期末]",,jpfr-t-cte,DeferredGainsOrLossesOnHedges,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,評価・換算差額等,評価・換算差額等,"評価・換算差額等合計[合計]
当期首残高[期首]
当期末残高[期末]",,"その他の包括利益累計額[標準]
その他の包括利益累計額合計[合計]",,"その他の包括利益累計額[標準]
その他の包括利益累計額合計[合計]","評価・換算差額等[標準]
当期首残高[期首]
当中間期末残高[期末]","その他の包括利益累計額[標準]
その他の包括利益累計額合計[合計]
当期首残高[期首]
当中間期末残高[期末]",Valuation and translation adjustments,"Total valuation and translation adjustments[合計]
Balance at the beginning of current period[期首]
Balance at the end of current period[期末]",,jpfr-t-cte,ValuationAndTranslationAdjustments,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,3
A,純資産,純資産,"純資産合計[合計]
当期首残高[期首]
当期末残高[期末]",,,,,"純資産[標準]
当期首残高[期首]
当中間期末残高[期末]","純資産[標準]
当期首残高[期首]
当中間期末残高[期末]",Net assets,"Total net assets[合計]
Balance at the beginning of current period[期首]
Balance at the end of current period[期末]",,jpfr-t-cte,NetAssets,xbrli:monetaryItemType,,xbrli:item,instant,credit,false,true,2
